DATE,UNRATE,Gas
12/1/1988,5.3,16.47575
1/1/1989,5.4,17.98909091
2/1/1989,5.2,17.9365
3/1/1989,5,19.52195652
4/1/1989,5.2,21.069
5/1/1989,5.2,20.12347826
6/1/1989,5.3,20.05045455
7/1/1989,5.2,19.78142857
8/1/1989,5.2,18.57782609
9/1/1989,5.3,19.59142857
10/1/1989,5.3,20.09772727
11/1/1989,5.4,19.85590909
12/1/1989,5.4,21.1
1/1/1990,5.4,22.86318182
2/1/1990,5.3,22.113
3/1/1990,5.2,20.38772727
4/1/1990,5.4,18.4255
5/1/1990,5.4,18.19954545
6/1/1990,5.2,16.6952381
7/1/1990,5.5,18.45409091
8/1/1990,5.7,27.3073913
9/1/1990,5.9,33.5075
10/1/1990,5.9,36.03956522
11/1/1990,6.2,32.33227273
12/1/1990,6.3,27.281
1/1/1991,6.4,25.23409091
2/1/1991,6.6,20.4775
3/1/1991,6.8,19.9015
4/1/1991,6.7,20.83
5/1/1991,6.9,21.23227273
6/1/1991,6.9,20.189
7/1/1991,6.8,21.40304348
8/1/1991,6.9,21.69363636
9/1/1991,6.9,21.8865
10/1/1991,7,23.23086957
11/1/1991,7,22.46095238
12/1/1991,7.3,19.49809524
1/1/1992,7.3,18.78545455
2/1/1992,7.4,19.0125
3/1/1992,7.4,18.92181818
4/1/1992,7.4,20.23
5/1/1992,7.6,20.9755
6/1/1992,7.8,22.38454545
7/1/1992,7.7,21.77521739
8/1/1992,7.6,21.33904762
9/1/1992,7.6,21.88136364
10/1/1992,7.3,21.68590909
11/1/1992,7.4,20.3385
12/1/1992,7.4,19.41409091
1/1/1993,7.3,19.032
2/1/1993,7.1,20.08611111
3/1/1993,7,20.32217391
4/1/1993,7.1,20.2525
5/1/1993,7.1,19.9495
6/1/1993,7,19.09409091
7/1/1993,6.9,17.89
8/1/1993,6.8,18.01090909
9/1/1993,6.7,17.50428571
10/1/1993,6.8,18.15333333
11/1/1993,6.6,16.60904762
12/1/1993,6.5,14.5147619
1/1/1994,6.6,15.02666667
2/1/1994,6.6,14.78105263
3/1/1994,6.5,14.68086957
4/1/1994,6.4,16.42
5/1/1994,6.1,17.88904762
6/1/1994,6.1,19.06
7/1/1994,6.1,19.6545
8/1/1994,6,18.38347826
9/1/1994,5.9,17.44571429
10/1/1994,5.8,17.71619048
11/1/1994,5.6,18.0695
12/1/1994,5.5,17.15952381
1/1/1995,5.6,18.03952381
2/1/1995,5.4,18.57
3/1/1995,5.4,18.53913043
4/1/1995,5.8,19.89631579
5/1/1995,5.6,19.74181818
6/1/1995,5.6,18.44590909
7/1/1995,5.7,17.3255
8/1/1995,5.7,18.02086957
9/1/1995,5.6,18.2255
10/1/1995,5.5,17.43318182
11/1/1995,5.6,17.9925
12/1/1995,5.6,19.0265
1/1/1996,5.6,18.85454545
2/1/1996,5.5,19.0935
3/1/1996,5.5,21.33238095
4/1/1996,5.6,23.49714286
5/1/1996,5.6,21.16545455
6/1/1996,5.3,20.4235
7/1/1996,5.5,21.30227273
8/1/1996,5.1,21.90318182
9/1/1996,5.2,23.9715
10/1/1996,5.2,24.87913043
11/1/1996,5.4,23.705
12/1/1996,5.4,25.22857143
1/1/1997,5.3,25.13181818
2/1/1997,5.2,22.17631579
3/1/1997,5.2,20.965
4/1/1997,5.1,19.69545455
5/1/1997,4.9,20.81904762
6/1/1997,5,19.26
7/1/1997,4.9,19.66363636
8/1/1997,4.8,19.95285714
9/1/1997,4.9,19.80333333
10/1/1997,4.7,21.32521739
11/1/1997,4.6,20.19388889
12/1/1997,4.7,18.33272727
1/1/1998,4.6,16.724
2/1/1998,4.6,16.06
3/1/1998,4.7,15.11545455
4/1/1998,4.3,15.35380952
5/1/1998,4.4,14.914
6/1/1998,4.5,13.72181818
7/1/1998,4.5,14.17272727
8/1/1998,4.5,13.47190476
9/1/1998,4.6,15.03142857
10/1/1998,4.5,14.46090909
11/1/1998,4.4,13.00210526
12/1/1998,4.4,11.34727273
1/1/1999,4.3,12.51473684
2/1/1999,4.4,12.01368421
3/1/1999,4.2,14.67652174
